api_name,api_code,description,latitude,longitude,weather,name,designation
John Fitzgerald Kennedy National Historic Site,jofi,"JFK’s parents never expected that their second son would grow up to be president. Yet in his birthplace home he learned values that inspired a life in public service. His mother, Rose Kennedy, recreated her family’s first home to share her memories of those early years with visitors. We commemorate not only his early life, but the ideas and principles he left behind.",42.34693694,-71.12323846,"Typical New England Weather: Warm, humid summers and cold winters. Any available outdoor programs take place rain or shine but may be modified or canceled due to high heat index.",,National Historic Site
John Muir National Historic Site,jomu,"John Muir’s life was a tapestry of roles—fruit rancher, family man, writer—each interwoven with his deep love for nature. As one of America’s most influential naturalists, Muir was more than just an observer of the wilderness; he was its fiercest advocate. His passion for the land drove him to protect the places he held dear, ensuring that future generations could experience their beauty.",37.9828422,-122.1326097,"The Mediterranean climate of Martinez features hot, dry summers with lower temperatures near 60º F and upper temperatures near 100º F. The heat gives way to cool, rainy winters with lows near 45º F and highs near 75º F. Fall and spring can bring rain and temperatures from 55-80º F. March to April: wet/dry, 60-80º F May to September: very dry, 60-100º+ F October to November: dry/wet, 55-80º F December to February: wet, 45-75º F",,National Historic Site
Johnstown Flood National Memorial,jofl,"The South Fork Dam failed on Friday, May 31, 1889, and unleashed 20,000,000 tons of water that devastated Johnstown, PA. The flood killed 2,209 people but it brought the nation and the world together to aid the ""Johnstown sufferers."" The story of the Johnstown Flood reminds us all, ""...that we must leave nothing undone for the preservation and protection of our brother men.""",40.34584534,-78.77448601,"Winters can be cold and severe. Spring can be seasonable and wet. Summer can be hot with potentials for thunderstorms. Fall can be seasonal, with cold temperatures into October and November.",,National Memorial
Joshua Tree National Park,jotr,"Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself!",33.91418525,-115.8398125,"Days are typically clear with less than 25% humidity. Temperatures are most comfortable in the spring and fall, with an average highs around 85°F (29°C) and average lows around 50°F (10°C) respectively. Winter brings cooler days, around 60°F (15°C), and freezing nights. It occasionally snows at higher elevations. Summers are hot, over 100°F (38°C) during the day and not cooling much below 75°F (24°C) at night.",,National Park
Juan Bautista de Anza National Historic Trail,juba,"The Juan Bautista de Anza National Historic Trail covers over 1200 miles through the homelands of 70+ Tribal communities. It follows the historic route of the 1775-76 Spanish colonizing expedition from Sonora, Mexico to San Francisco, CA. Whether urban or rural, the trail offers adventure, diverse cultural perspectives, and an opportunity to experience history.",33.8743390994,-117.224179857,"The 1,200-mile Anza Trail connects historic, cultural, and recreation sites from Nogales, AZ, to the San Francisco Bay Area. To learn more, visit http://www.nps.gov/juba. Each site along the Anza Trail is managed independently. Contact individual sites for hours, directions, and other details.",,National Historic Trail
Kalaupapa National Historical Park,kala,"When Hansen's disease (leprosy) was introduced to the Hawaiian Islands, King Kamehameha V banished all afflicted to the isolated Kalaupapa Peninsula on the north shore of Molokai. Since 1866, more than 8,000 people, mostly Hawaiians, have died at Kalaupapa. Once a prison, Kalaupapa is now a refuge for the few remaining residents who are cured but were forced to live their lives in isolation.",21.1731108,-156.9511609,"Hawaii enjoys warm temperatures year-round, although site conditions at the park can vary depending on weather and time of year. The rainy season is in the winter with the more hot and humid days in the summer. Trade winds are fairly constant and typically blow from the northeast. Daytime temperatures range from 65–75° F in the winter to 80-90°F in the summer. Nighttime temperatures are often in the 60-70°F range.",,National Historical Park
Kaloko-Honokōhau National Historical Park,kaho,"Along the western coastline of the Island of Hawaiʻi lies the hot, rugged lava of Kaloko-Honokōhau. This seemingly barren and harsh landscape does not appear to be suitable for human existence, and yet, long before written history, the Hawaiian people built a thriving settlement upon this ʻaʻā lava.",19.68083237,-156.0306932,"The weather in the park is typically hot and sunny, with temperatures in the upper 80's.",,National Historical Park
Katahdin Woods and Waters National Monument,kaww,"Spread across a wild landscape offering spectacular views of Katahdin, Katahdin Woods and Waters invites discovery of its rivers, streams, woods, flora, fauna, geology, and the night skies that have attracted humans for millennia.",45.9567565918,-68.7122879028,"Northern Maine experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically, the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C).",,National Monument
Katmai National Park & Preserve,katm,"A landscape is alive underneath our feet, filled with creatures that remind us what it is to be wild. Katmai was established in 1918 to protect the volcanically devastated region surrounding Novarupta and the Valley of Ten Thousand Smokes. Today, Katmai National Park and Preserve also protects 9,000 years of human history and important habitat for salmon and thousands of brown bears.",58.62235668,-155.0126574,"Located between the stormy north Pacific Ocean and the even stormier Bering Sea, the Katmai region is often a battleground between weather systems. When you visit, be prepared to encounter all types of weather. On average, wet and cool conditions predominate in spring, summer, and fall. Winters are drier and colder.",,National Park & Preserve
Kenai Fjords National Park,kefj,"At the edge of the Kenai Peninsula lies a land where the ice age lingers. Nearly 40 glaciers flow from the Harding Icefield, Kenai Fjords' crowning feature. Wildlife thrives in icy waters and lush forests along the fjords once carved by the vast expanse of ice. Today, shrinking glaciers bear witness to the effects of our changing climate.",59.81804414,-150.106502,"The weather in Kenai Fjords is difficult to predict and can change rapidly. The area generally enjoys a relatively temperate maritime climate, primarily due to the influence of warmer ocean currents that flows through the Gulf of Alaska. Summer daytime temperatures range from the mid 40s°F to the low 70s°F. Overcast and cool rainy days are frequent. Winter temperatures can range from the low 30s°F to -20°F.",,National Park
Kenilworth Park & Aquatic Gardens,keaq,"Deep within Kenilworth lies an oasis, hidden behind trees and cattails. It's a place where beavers build their homes and turtles sleep on logs. Lotus blooms rise from the muck and lilies sit on the water. The wind dances with the dragonflies, rustling through the trees, carrying the song of the birds until it brushes across your face, fading to a whisper, saying ""come join.""",38.9128,-76.9434,"June-September expect warm and humid weather. Average high temperatures are in the 80s, though often in the low 90s. On humid days, showers and thunderstorms often build in the late afternoon. July and August are the warmest months. The coldest month is January, with average daytime highs in the low 40s and overnight lows in the upper 20s.",,
Kennesaw Mountain National Battlefield Park,kemo,"Kennesaw Mountain National Battlefield Park is a 2,965 acre National Battlefield that preserves a Civil War battleground of the Atlanta Campaign. Opposing forces maneuvered and fought here from June 19, 1864 until July 2, 1864. Although most famous as a Civil War battlefield, Kennesaw Mountain has a much richer story.",33.95370717,-84.59214186,"Before you start your trip to the mountain, check the local weather forecast to be sure that you will have a dry time. Though we are located north of Atlanta, we're still have the same hot summers and mild winters as our neighbors. The mountain top generally ranges 8-10 degrees cooler than at the base. In fall and winter, be prepared with a light weight jacket on hand. After planning your activities, check back to see what the weather will have in store for your day.",,National Battlefield Park
Keweenaw National Historical Park,kewe,"The stories of people and copper in the Keweenaw Peninsula have been intertwined for more than 7,000 years. Indigenous peoples made copper into tools and trade items. Investors and immigrants arrived in the 1800s in a great mineral rush, developing thriving industries and cosmopolitan communities. Though the mines have since closed, their mark is still visible on the land and people.",47.1792308,-88.52275344,"Summer: Keweenaw summers are usually mild, with average highs in the 70s, but can reach into the 80s and 90s. Nighttime temperatures are typically cool, but can also dip into the 40s or stay in the 70s. Summer months are dry, with occasional rain or severe thunderstorms. Winter: Again influenced by Lake Superior, winter temperatures are mild with highs in the 20s. Cold spells can occur with subzero temperatures. Lake effect snow is common, and 300 inches of snow can fall in a season.",,National Historical Park
Kings Mountain National Military Park,kimo,"Thomas Jefferson called it ""The turn of the tide of success."" The battle of Kings Mountain, fought October 7th, 1780, was an important American victory during the Revolutionary War. The battle was the first major patriot victory to occur after the British invasion of Charleston, SC in May 1780. The park preserves the site of this important battle.",35.13900723,-81.38978712,Temperatures for the area range from very hot and humid in the summer to cool and moderate in the winter.,,National Military Park
Klondike Gold Rush - Seattle Unit National Historical Park,klse,"Seattle flourished during and after the Klondike Gold Rush. Merchants supplied people from around the world passing through this port city on their way to a remarkable adventure in the Yukon Territory of Canada. Today, the park is your gateway to learn about the Klondike Gold Rush, explore the area's public lands, and engage with the local community.",47.5993663,-122.3319664,"Warm dry summers from mid-July through mid-Sept, all the rest of the year, mainly rainy and cool.",,National Historical Park
Klondike Gold Rush National Historical Park,klgo,"Headlines screamed ""Gold!"" The dream of a better life catapulted thousands of people to Alaska and the Yukon Territory. Their journey shaped them, and changed the people they encountered and the north forever. Today, the park remembers the trails, boomtowns, and stories of the Klondike Gold Rush.",59.61042373,-135.2618535,Skagway has a highly variable climate with frequent rain and high winds. Average temperatures May through September range from 47-60ºF. Average temperatures October through April range from 28-38ºF.,,National Historical Park
Knife River Indian Villages National Historic Site,knri,"Earthlodge people hunted bison and other game, but were in essence farmers living in villages along the Missouri and its tributaries. The site was a major Native American trade center for hundreds of years prior to becoming an important market place for fur traders after 1750.",47.3540219,-101.3860533,"Summers are warm and sunny with temperatures occasionally reaching 100 degrees F and frequent afternoon thunderstorms. Winters are invigorating, with extremely cold temperatures as low as -35 degrees F. High winds and sunny skies are common in winter. Snow is sporadic in the relatively dry climate, but blizzards are common.",,National Historic Site
Kobuk Valley National Park,kova,"Caribou, sand dunes, the Kobuk River, Onion Portage - just some of the facets of Kobuk Valley National Park. Thousands of caribou migrate through, their tracks crisscrossing sculpted dunes. The Kobuk River is an ancient and current corridor for people and wildlife. For 9000 years, people came to Onion Portage to harvest caribou as they swam the river. Even today, that rich tradition continues.",67.35631336,-159.2002293,"Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold.",,National Park
Korean War Veterans Memorial,kowa,"At the Korean War Veterans Memorial, ""Our nation honors her sons and daughters who answered the call to defend a country they never knew and a people they never met.""",38.88784226,-77.04773857,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com),,
LBJ Memorial Grove on the Potomac,lyba,"From this distance the seat of national power appears pristine across the river, so President Johnson came here often when he needed to escape from the stresses of building a Great Society. After he died, his wife chose this place for his memorial. A landscape of serpentine paths, white pines, a granite monolith, and an open meadow honors his legacy of social justice and conservation legislation.",38.87858036,-77.05145832,"Summers in the park are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters in the park are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Please be alert for snowplows and icy spots on roadways. Weather during spring and fall is generally moderate, but can change quickly.",,
Lake Clark National Park & Preserve,lacl,"Lake Clark National Park and Preserve is a land of stunning beauty. Volcanoes steam, salmon run, bears forage, and craggy mountains reflect in shimmering turquoise lakes. Here, too, local people and culture still depend on the land and water. Venture into the park to become part of the wilderness.",60.57405857,-153.55535,"Lake Clark has two distinct climate areas: the coast and the interior. The coast is wetter and experiences milder temperatures. The interior gets half to one fourth as much precipitation, but temperatures are hotter in summer and colder in winter. Frost and snow can occur any time parkwide, but are most common from September to early June. Lakes here typically begins freezing in November and melting in April. Ice conditions dictate whether planes need floats or skis to land on lakes.",,National Park & Preserve
Lake Mead National Recreation Area,lake,"Experience outdoor thrills, striking landscapes, and brilliant blue waters. This year-round recreation area spreads across 1.5 million acres of mountains, canyons, valleys and two vast reservoirs. Visitors come here for scenic drives, biking, hiking, boating, fishing, camping, and much more.",35.96622528,-114.3469067,"Spring (April, May and June): Daytime highs 80 °F to 98 °F. Nighttime lows 50 °F to 66 °F Summer* (July, August and September): Daytime highs 89 °F to 103 °F (It can get up to 117 °F.) Fall (October, November and December): Daytime highs 59 °F to 83 °F. Nighttime lows 32 °F to 50 °F. Winter (January, February and March) Daytime highs 57 °F to 69 °F. Nighttime lows 30 °F to 40 °F. *Summer can be a dangerous time due to excessive heat. Some trails are closed for public safety.",,National Recreation Area
Lake Meredith National Recreation Area,lamr,"Nestled within the Texas Plains, Lake Meredith National Recreation Area serves as a tranquil oasis amid the vast, arid grasslands. Over centuries, the Canadian River has sculpted breathtaking 200-foot canyons—known as breaks—that now encircle the lake. These secluded coves create diverse ecosystems, supporting seven distinct habitats that sustain a rich array of wildlife, including migratory birds",35.61926203,-101.6820066,"This area of the Texas Panhandle has a wide variety of weather conditions throughout the year. Winters are cold and windy, with summers being hot and dry. Weather can change rapidly on Lake Meredith. It is usually a good idea to check the weather report and dress accordingly.",,National Recreation Area
Lake Roosevelt National Recreation Area,laro,"The ancient geologic landscape of the upper Columbia River cradles Lake Roosevelt in walls of stone carved by massive ice age floods. Come explore the shorelines and learn the stories of American Indians, traders and trappers, settlers and dam builders who called this place home. Swim, boat, hike, camp, and fish at this hidden gem in Northeast Washington, created by the Grand Coulee Dam.",48.17148735,-118.3513713,"Lake Roosevelt is generally a cool or cold place from fall through spring with overcast skies. In the summer, the skies clear and present warm to hot days. More information on weather can be found under Alerts and Conditions.",,National Recreation Area
Lassen Volcanic National Park,lavo,"Lassen Volcanic National Park is home to steaming fumaroles, meadows freckled with wildflowers, clear mountain lakes, and numerous volcanoes. Jagged peaks tell the story of its eruptive past while hot water continues to shape the land.",40.49354575,-121.4075993,"Weather at Lassen can vary dramatically throughout the year. Average January temperatures are a high of 40.4 °F (4.7 °C) and a low of 20.8 °F (-6.2 °C). Average July temperatures are a high of 88.4 °F and a low of 49.8 °F. Temperatures reach 90 °F or higher on an average of 36.9 days, and drop to 32 ° or lower on an average of 164 days days annually.",,National Park
Lava Beds National Monument,labe,"Lava Beds National Monument is a land of turmoil, both geological and historical. Over the last half-million years, volcanic eruptions on the Medicine Lake shield volcano have created a rugged landscape dotted with diverse volcanic features. More than 800 caves, Native American rock art sites, historic battlefields and campsites, and a high desert wilderness experience await you!",41.75915823,-121.5172189,"Park elevations range from 4,000 to 5,700 feet. Cold weather is possible any time of year, and snow has been recorded in all months. Winter day­time highs average 40°F; lows average 20°F. Morning fog is frequent from autumn through spring. Summer daytime highs average 75° to 80°F; lows average 50°F. Occasional thunderstorms occur in summer.",,National Monument
Lewis & Clark National Historic Trail,lecl,"The Lewis and Clark National Historic Trail winds nearly 4,900 miles through the homelands of more than 60 Tribal nations. It follows the historic outbound and inbound routes of the Lewis and Clark Expedition of 1803-1806 from Pittsburgh, Pennsylvania to the Pacific Ocean. Follow the trail to find the people, places, and stories that make up the complex legacy of the expedition.",41.2646141052,-95.9245147705,"In winter, watch for ice on trails and sidewalks. In summer, make sure to drink plenty of water and wear sunscreen on hot days. Keep in mind the Trail covers 16 states, use www.weather.gov to look up the specific area you plan to visit.",,National Historic Trail
Lewis and Clark National Historical Park,lewi,Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the native people. Unfold the dramatic stories of America's most famous explorers. The park encompasses sites along the Columbia River and the Pacific Coast. Follow in the footsteps of the explorers and have an adventure in history.,46.21178735,-123.9638583,"We see an average of 70 inches of rain a year and we are the foggiest location in the Lower 48 states. Summer months are usually nice with days ranging from 55-70 degrees. Winters are wet and mild, usually 40-55 degrees. During the 106 days the Lewis and Clark Expedition wintered at Fort Clatsop in 1806 it rained all but 12 days and they saw the sun 6 times. While we are usually not so dreary make sure to prepare for rain or shine.",,National Historical Park
Lincoln Boyhood National Memorial,libo,Abraham Lincoln grew from youth to manhood on this southern Indiana soil. Many character and moral traits of one of the world's most respected leaders was formed and nurtured here. Explore Lincoln's boyhood and learn about the boy who would one day become the leader of our nation.,38.11817004,-86.99656861,"Southern Indiana has a moderate climate, characterized by warm, yet moist conditions. Summers are usually warm, and winters cool. Much of the area's average 46 inches of precipitation falls in spring, the rainiest season.",,National Memorial
Lincoln Home National Historic Site,liho,"Abraham Lincoln believed in the ideal that everyone in America should have the opportunity to improve their economic and social condition. Lincoln’s life was the embodiment of that idea. We know him as the sixteenth president but he was also a spouse, parent, and neighbor who experienced the same hopes, dreams, and challenges of life that are still experienced by many people today.",39.79715642,-89.64513397,"Temperatures at our site can range from 0°F (-18°C) in the winter to 95°F (35°C) or warmer in the summer. Summers can be very humid, with both intense sun, rainstorms, and thunderstorms. Winter sees clear skies as well as snow. Please dress appropriate for potential weather conditions. We recommend wearing shoes comfortable for walking.",,National Historic Site
Lincoln Memorial,linc,"""...as in the hearts of the people for whom he saved the Union, the memory of Abraham Lincoln is enshrined forever."" Beneath these words, the 16th president of the United States sits immortalized in marble as an enduring symbol of unity, strength, and wisdom.",38.88927229,-77.05017778,"Washington, DC experiences all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com)",,
Little Bighorn Battlefield National Monument,libi,"This land is a place to honor and reflect on the sacrifices made here on June 25 and 26, 1876, when Lakota, Cheyenne, and Arapaho warriors fought against a deliberate attack by the U.S. Army's 7th Cavalry, led by Lt. Col. George Custer, who sought to enforce policies that threatened their traditional way of life. How are the results of the battle felt in the West and Indigenous communities today?",45.55633048,-107.4183614,Little Bighorn Battlefield National Monument average weather: Spring: 50-60 (F) degree days/ 30+/- (F) degree nights Summer: 70-100 (F) degree days/ 45-60+ (F) degree nights Fall: 40-50 (F) degree days/ 25+/- (F) degree nights Winter: 20-30 (F) degree days/ 0+/- (F) degree nights,,National Monument
Little River Canyon National Preserve,liri,"Little River is unique because it flows for most of its length atop Lookout Mountain in northeast Alabama. Forested uplands, waterfalls, canyon rims and bluffs, pools, boulders, and sandstone cliffs offer settings for a variety of recreational activities. Natural resources and cultural heritage come together to tell the story of the Preserve, a special place in the Southern Appalachians.",34.41461863,-85.61734327,"The weather in Fort Payne, Alabama is mild. The average temperature in the winter is in the 50's. The average summer temperature is in the high 80's with high humidity. We receive about 55 inches of rain each year. Snowfall varies, but only lasts a few days per event.",,National Preserve
Little Rock Central High School National Historic Site,chsc,"In 1957, Little Rock Central High School was the epicenter of confrontation and a catalyst for change as the fundamental test for the United States to enforce African American civil rights following Brown v. Board of Education. Learn how the sacrifice and struggle endured by the Little Rock Nine have provided opportunities and opened doors for those seeking education around the world.",34.7369465,-92.29987899,"Arkansas weather can change quickly. While the state is in a moderate temperate zone, it does experience strong thunderstorms, tornadoes and flash floods. In winter, ""snow"" events tend to quickly turn to thin ice which can be difficult to see and to clear. Summer temperatures and humidity can lead to dehydration, heat exhaustion and heat stroke. Visitors are advised to dress in layers and be prepared for precipitation. Average seasonal temperatures (°F): Spring: 62° Summer: 80° Fall: 63° Winter: 43°",,National Historic Site
Longfellow House Washington's Headquarters National Historic Site,long,"Longfellow House-Washington's Headquarters National Historic Site preserves a remarkable Georgian house whose occupants shaped our nation. It was a site of colonial enslavement and community activism, George Washington’s first long-term headquarters of the American Revolution, and the place where Henry Wadsworth Longfellow wrote his canon of 19th-century American literature.",42.37698854,-71.12636956,"New England weather is highly variable. Temperatures in the winter can be very cold with high snowfall. Fall and spring are generally pleasant. Summer temperatures are generally mild, with periods of heat and humidity. However, the house is air conditioned and heated for collection care and the comfort of the visitor.",,National Historic Site
Lowell National Historical Park,lowe,"Lowell’s water-powered textile mills catapulted the nation – including immigrant families and early female factory workers – into an uncertain new industrial era. Nearly 200 years later, the changes that began here still reverberate in our shifting global economy. Explore Lowell, a living testament to the dynamic human story of the industrial revolution.",42.6455371,-71.31588673,"Summer: Throughout the summer, temperatures range from the mid 60s to mid 90s during the day, with rain and thunderstorms more common in the months of July and August. Boats and trolleys operate rain or shine and are only cancelled in cases of extreme weather or the presence of thunder and lightning. Winter: Winters are typically cold with temperatures in the mid 30s and 40s (with occasional single digit temperatures) and snow storms with a few inches accumulation occur frequently throughout the season.",,National Historical Park
Lower Delaware National Wild and Scenic River,lode,"The Delaware River, the largest free-flowing river in the eastern United States, runs past forests, farmlands and villages. It also links some of the most densely populated regions in America. In 2000, the National Wild and Scenic River System incorporated key segments of the lower Delaware River to form this unit of the National Park System.",40.4000389,-74.983737,Spring: Temperatures usually range from lows of 26 F to highs of 80 F with average rainfall of 5 inches. Summer: Temperatures usually range from lows of 55 F to highs of 85 F with average rainfall of 4 inches. Fall: Temperatures usually range from lows of 30 F to highs of 83F. Fall foliage is at its peak sometime in October as daily mountain temperatures vary frequently and influence the change. Winter: Temperatures usually range from lows of 15 F to highs of 49 F.,,National Wild and Scenic River
Lower East Side Tenement Museum National Historic Site,loea,"The Tenement Museum tells the stories of working-class tenement residents, who moved to New York City from other countries and other parts of the country. Their work helped build the city and nation, and their stories help us understand our history. The museum shares these stories through guided tours of recreated tenement apartments, neighborhood walking tours, and virtual tours and programs.",40.7187683,-73.99001245,Check out the 10 day forecast for New York City!,,National Historic Site
Lyndon B Johnson National Historical Park,lyjo,"Lyndon B. Johnson National Historical Park tells the story of our 36th president beginning with his ancestors until his final resting place on his beloved LBJ Ranch. This entire ""circle of life"" gives the visitor a unique perspective into one of America's most noteworthy citizens by providing the most complete picture of any American president.",30.2519655,-98.60692433,"Overall, the park enjoys a sunny, mild climate during three seasons of the year. Spring: Temperatures range from 45 F to 85 F (7 C/29 C). Rain is common in April and May. Summer: Temperatures range from 70 F to 95 F (21 C/35 C). Temperatures can exceed 100 F (38 C) in July and August. Lightweight clothing and sunscreen are advisable. Be prepared with plenty of water. Fall: Temperatures range from 45 F to 85 F (7 C/29 C). Winter: Temperatures range from 35 F to 65 F (2 C/18 C) . Snow and ice are rare.",,National Historical Park
Maggie L Walker National Historic Site,mawa,"Maggie Lena Walker devoted her life to civil rights advancement, economic empowerment, and educational opportunities for Jim Crow-era African Americans and women. As a bank president, newspaper editor, and fraternal leader, Walker served as an inspiration of pride and progress. Today, Walker’s home is preserved as a tribute to her enduring legacy of vision, courage, and determination.",37.54781499,-77.43746979,"Summer is hot and humid, spring and winter are pleasant/mild, winter can be cold and occasionally snowy.",,National Historic Site
Maine Acadian Culture,maac,"Maine Acadians share beliefs and experiences tying them to a common religion, languages, and history. The St. John River, land, and family are essential to their culture. The National Park Service supports the Maine Acadian Heritage Council, an association of historical societies, cultural clubs, towns, and museums that work together to support Maine Acadian culture in the St. John Valley.",47.25102114,-68.59447532,"Located in remote northern Maine, Aroostook County experiences all four seasons. Summers temperatures average highs near 75° F (23° C) while winter temperatures average lows often below 0° F (-17° C). Snow falls typically from November through April and averages well over 100 inches of snow per winter.",,
Mammoth Cave National Park,maca,"Rolling hills, deep river valleys, and the world's longest known cave system. Mammoth Cave National Park is home to thousands of years of human history and a rich diversity of plant and animal life, earning it the title of UNESCO World Heritage Site and International Biosphere Region.",37.19760458,-86.13090198,"Kentucky has a moderate climate with warm, yet moist conditions. Summers average in the high 80s; winters average in the low 40s. Southern Kentucky, where Mammoth Cave is located, receives the highest average precipitation for the state, about 50 inches per year, mostly in spring. Winter can bring mild to moderate snow and ice. Storms happen year-round, and can include tornadoes and flooding in low-lying areas, but severe weather is infrequent. The temperature deep in the cave is a constant 54°F (12°C).",,National Park
Manassas National Battlefield Park,mana,"On July 21, 1861, two armies clashed for the first time on the fields overlooking Bull Run. Heavy fighting swept away any notion of a quick war. In August 1862, Union and Confederate armies converged for a second time on the plains of Manassas. The Confederates won a solid victory bringing them to the height of their power.",38.81710063,-77.5353468,"Spring: Mild weather, with average low/high temperatures from 33 F to 75 F. Variable rainfall, with May being the wettest month of the year on average. Summer: Warm and humid weather, with average temperatures from 61 F to 88 F. Variable rainfall, with occasional downpours during storms. Fall: Mild weather, with average temperatures from 35 F to 79 F. Variable rainfall. Winter: Mild to cool weather, with average temperatures from 24 F to 47 F. Annual snowfall averages about 22 inches.",,National Battlefield Park
Manhattan Project National Historical Park,mapr,"The Manhattan Project is one of the most transformative events of the 20th century. It ushered in the nuclear age with the development of the world’s first atomic bombs. Most of this development took place in three secret communities located in Hanford, WA, Los Alamos, NM and Oak Ridge, TN. Today, you can visit these three sites that make up Manhattan Project National Historical Park.",35.88096,-106.30214,"The Manhattan Project National Historical Park has units in Hanford, WA, Los Alamos, NM, and Oak Ridge, TN. Check local weather conditions at each unit before you visit.",,National Historical Park
Manzanar National Historic Site,manz,"In 1942, the United States government ordered more than 110,000 men, women, and children to leave their homes and detained them in remote, military-style camps. Manzanar War Relocation Center was one of ten camps where the US government incarcerated Japanese immigrants ineligible for citizenship and Japanese American citizens during World War II.",36.72559195,-118.1547177,"Manzanar is located in the Owens Valley at 4,000' elevation, at the eastern base of the Sierra Nevada. We get little precipitation but we do have four distinct seasons. Summer temperatures can soar over 100 degrees. Winter highs are usually in the 40's. Nighttime temperatures year round are 30 to 40 degrees less than daytime highs. High winds are common in any season.",,National Historic Site
Marsh - Billings - Rockefeller National Historical Park,mabi,"Walk through one of Vermont's most beautiful landscapes under the shade of the Mount Tom Forest, the oldest continuously managed scientific forest in the United States. This is a landscape of loss, recovery, and conservation. This is a story of stewardship, of people taking care of places - sharing an enduring connection to land and a sense of hope for the future.",43.63348732,-72.53424638,"The weather in Vermont is dramatic and varied depending on location, terrain, distance from a body of water like Lake Champlain, and elevation and can change from year to year. In the Woodstock area, summer daily high temperatures range between 60 to 80 degrees, with some days reaching into the 90s. Winter is Vermont's longest season and temps in winter vary more than those in summer. Common to experience freezing temperatures from Nov to March, many sub-zero days, seasonal snowfall averages 80 inches.",,National Historical Park
"Martin Luther King, Jr. Memorial",mlkm,"Located in downtown Washington, DC, the memorial honors Martin Luther King, Jr.'s legacy and the struggle for freedom, equality, and justice. A prominent leader in the modern civil rights movement, Dr. King was a tireless advocate for racial equality, working class, and the oppressed around the world.",38.8862276865,-77.0442195534,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com),,
"Martin Luther King, Jr. National Historical Park",malu,"Welcome to Martin Luther King, Jr. National Historical Park & Preservation District where a young boy grows up in a time of segregation. He was moved by destiny to lead the modern civil rights movement. This was Martin Luther King, Jr. Explore his roots, walk in his footsteps, visit the home of his birth, and where he played as a child. Hear his voice in the church where he changed the world.",33.75618241,-84.37256768,Summers typically are warm and humid with average afternoon high temperatures are in the lower 90s. During winter the high temperatures average from the mid-50s to the lower 60s. Lows average in the mid-30s. Spring and Autumn seasons are characterized by much variability from day to day and from year to year. The average date of first freeze is in mid-November and the date of the last freeze is mid to late March.,,National Historical Park
Martin Van Buren National Historic Site,mava,"Born in Kinderhook, New York, in 1782, Martin Van Buren was the first president born a US citizen. His life spanned the American Revolution to the Civil War and was shaped by the most important issues of the era: US expansionism and the removal of Indigenous people, states’ rights, and slavery. This historic landscape invites reflection on the many lives and legacies woven into its past.",42.36819596,-73.70834257,The weather at Martin Van Buren National Historic Site is typical of the northeast United States; it varies considerably throughout the year. Always check the forecast prior to your visit and dress accordingly. Be sure to wear comfortable walking shoes.,,National Historic Site
