activity,activities_code,states,activities_name
park film,gero,in,george rogers clark national historical park
park film,gett,pa,gettysburg national military park
park film,gicl,nm,gila cliff dwellings national monument
park film,glac,mt,glacier national park
park film,glba,ak,glacier bay national park and preserve
park film,gosp,ut,golden spike national historical park
park film,grba,nv,great basin national park
park film,grca,az,grand canyon national park
park film,grfa,va,great falls park
park film,grpo,mn,grand portage national monument
park film,grsa,co,great sand dunes national park and preserve
park film,grsm,"nc,tn",great smoky mountains national park
park film,guco,nc,guilford courthouse national military park
park film,gwca,mo,george washington carver national monument
park film,hagr,ny,hamilton grange national memorial
park film,hatu,md,harriet tubman underground railroad national historical park
park film,havo,hi,hawaii volcanoes national park
park film,heho,ia,herbert hoover national historic site
park film,hobe,al,horseshoe bend national military park
park film,hofu,pa,hopewell furnace national historic site
park film,home,ne,homestead national historical park
park film,hosp,ar,hot springs national park
park film,hove,"co,ut",hovenweep national monument
park film,hstr,mo,harry s truman national historic site
park film,inde,pa,independence national historical park
park film,indu,in,indiana dunes national park
park film,isro,mi,isle royale national park
park film,jaga,oh,james a garfield national historic site
park film,jeca,sd,jewel cave national monument
park film,jeff,mo,gateway arch national park
park film,jela,la,jean lafitte national historical park and preserve
park film,jica,ga,jimmy carter national historical park
park film,joda,or,john day fossil beds national monument
park film,jofi,ma,john fitzgerald kennedy national historic site
park film,jomu,ca,john muir national historic site
park film,juba,"az,ca",juan bautista de anza national historic trail
park film,kaho,hi,kaloko-honokohau national historical park
park film,katm,ak,katmai national park and preserve
park film,kefj,ak,kenai fjords national park
park film,kewe,mi,keweenaw national historical park
park film,kimo,sc,kings mountain national military park
park film,klgo,ak,klondike gold rush national historical park
park film,klse,wa,klondike gold rush - seattle unit national historical park
park film,knri,nd,knife river indian villages national historic site
park film,labe,ca,lava beds national monument
park film,lake,"az,nv",lake mead national recreation area
park film,laro,wa,lake roosevelt national recreation area
park film,lavo,ca,lassen volcanic national park
park film,lewi,"or,wa",lewis and clark national historical park
park film,libo,in,lincoln boyhood national memorial
park film,liho,il,lincoln home national historic site
park film,lowe,ma,lowell national historical park
park film,lyjo,tx,lyndon b johnson national historical park
park film,mabi,vt,marsh - billings - rockefeller national historical park
park film,maca,ky,mammoth cave national park
park film,mamc,dc,mary mcleod bethune council house national historic site
park film,mana,va,manassas national battlefield park
park film,manz,ca,manzanar national historic site
park film,mapr,"nm,wa,tn",manhattan project national historical park
park film,meve,co,mesa verde national park
park film,mimi,sd,minuteman missile national historic site
park film,misp,ky,mill springs battlefield national monument
park film,mnrr,"sd,ne",missouri national recreational river
park film,mocr,nc,moores creek national battlefield
park film,moja,ca,mojave national preserve
park film,mora,wa,mount rainier national park
park film,morr,nj,morristown national historical park
park film,moru,sd,mount rushmore national memorial
park film,nabr,ut,natural bridges national monument
park film,natr,"al,ms,tn",natchez trace parkway
park film,nepe,"id,mt,or,wa",nez perce national historical park
park film,neri,wv,new river gorge national park and preserve
park film,nico,ks,nicodemus national historic site
park film,niob,ne,niobrara national scenic river
park film,nisi,sc,ninety six national historic site
park film,noat,ak,noatak national preserve
park film,npnh,ny,national parks of new york harbor
park film,obed,tn,obed wild and scenic river
park film,ocmu,ga,ocmulgee mounds national historical park
park film,olym,wa,olympic national park
park film,orpi,az,organ pipe cactus national monument
park film,ovvi,"nc,sc,tn,va",overmountain victory national historic trail
park film,ozar,mo,ozark national scenic riverways
park film,paal,tx,palo alto battlefield national historical park
park film,pais,tx,padre island national seashore
park film,pefo,az,petrified forest national park
park film,peri,ar,pea ridge national military park
park film,petr,nm,petroglyph national monument
park film,pevi,oh,perry's victory and international peace memorial
park film,pinn,ca,pinnacles national park
park film,pipe,mn,pipestone national monument
park film,pisp,az,pipe spring national monument
park film,poch,ca,port chicago naval magazine national memorial
park film,pore,ca,point reyes national seashore
park film,prwi,va,prince william forest park
park film,puhe,hi,puukohola heiau national historic site
park film,pull,il,pullman national historical park
park film,redw,ca,redwood national and state parks
park film,rich,va,richmond national battlefield park
park film,rira,mi,river raisin national battlefield park
park film,rocr,dc,rock creek park
park film,romo,co,rocky mountain national park
park film,rori,ca,rosie the riveter wwii home front national historical park
park film,saan,tx,san antonio missions national historical park
park film,sacn,"wi,mn",saint croix national scenic riverway
park film,saga,nh,saint-gaudens national historical park
park film,sagu,az,saguaro national park
park film,sahi,ny,sagamore hill national historic site
park film,sair,ma,saugus iron works national historic site
park film,sama,ma,salem maritime national historical park
park film,sapu,nm,salinas pueblo missions national monument
park film,sara,ny,saratoga national historical park
park film,scbl,ne,scotts bluff national monument
park film,seki,ca,sequoia and kings canyon national parks
park film,semo,al,selma to montgomery national historic trail
park film,shen,va,shenandoah national park
park film,shil,"tn,ms",shiloh national military park
park film,sitk,ak,sitka national historical park
park film,spar,ma,springfield armory national historic site
park film,stea,pa,steamtown national historic site
park film,stli,ny,statue of liberty national monument
park film,stri,tn,stones river national battlefield
park film,stsp,"dc,md,va",star-spangled banner national historic trail
park film,sucr,az,sunset crater volcano national monument
park film,tapr,ks,tallgrass prairie national preserve
park film,thrb,ny,theodore roosevelt birthplace national historic site
park film,thri,ny,theodore roosevelt inaugural national historic site
park film,thro,nd,theodore roosevelt national park
park film,tont,az,tonto national monument
park film,tuai,al,tuskegee airmen national historic site
park film,tuma,az,tumacacori national historical park
park film,ulsg,mo,ulysses s grant national historic site
park film,vafo,pa,valley forge national historical park
park film,valr,hi,pearl harbor national memorial
park film,vick,"ms,la",vicksburg national military park
park film,voya,mn,voyageurs national park
park film,waba,ok,washita battlefield national historic site
park film,waca,az,walnut canyon national monument
park film,wapa,gu,war in the pacific national historical park
park film,wefa,ct,weir farm national historical park
park film,whho,dc,the white house and president's park
park film,whmi,wa,whitman mission national historic site
park film,wica,sd,wind cave national park
park film,wicr,mo,wilson's creek national battlefield
park film,wiho,oh,william howard taft national historic site
park film,wori,ny,women's rights national historical park
park film,wrst,ak,wrangell - st elias national park and preserve
park film,wupa,az,wupatki national monument
park film,yell,"id,mt,wy",yellowstone national park
park film,york,va,yorktown battlefield part of colonial national historical park
park film,yose,ca,yosemite national park
park film,zion,ut,zion national park
playground,anac,dc,anacostia park
playground,bica,"mt,wy",bighorn canyon national recreation area
playground,cahi,dc,capitol hill parks
playground,fone,pa,fort necessity national battlefield
playground,fova,"or,wa",fort vancouver national historic site
playground,gree,md,greenbelt park
playground,indu,in,indiana dunes national park
playground,klgo,ak,klondike gold rush national historical park
playground,mnrr,"sd,ne",missouri national recreational river
playground,neri,wv,new river gorge national park and preserve
playground,ozar,mo,ozark national scenic riverways
playground,prwi,va,prince william forest park
playground,rocr,dc,rock creek park
scuba diving,alka,hi,ala kahakai national historic trail
scuba diving,amis,tx,amistad national recreation area
scuba diving,apis,wi,apostle islands national lakeshore
scuba diving,bisc,fl,biscayne national park
scuba diving,buis,vi,buck island reef national monument
scuba diving,chis,ca,channel islands national park
scuba diving,drto,fl,dry tortugas national park
scuba diving,ebla,wa,ebey's landing national historical reserve
scuba diving,guis,"fl,ms",gulf islands national seashore
scuba diving,isro,mi,isle royale national park
scuba diving,lake,"az,nv",lake mead national recreation area
scuba diving,npsa,as,national park of american samoa
scuba diving,piro,mi,pictured rocks national lakeshore
scuba diving,sari,vi,salt river bay national historical park and ecological preserve
scuba diving,vicr,vi,virgin islands coral reef national monument
scuba diving,viis,vi,virgin islands national park
scuba diving,whis,ca,whiskeytown national recreation area
shopping,abli,ky,abraham lincoln birthplace national historical park
shopping,acad,me,acadia national park
shopping,adam,ma,adams national historical park
shopping,afbg,ny,african burial ground national monument
shopping,agfo,ne,agate fossil beds national monument
shopping,alca,ca,alcatraz island
shopping,alpo,pa,allegheny portage railroad national historic site
shopping,amis,tx,amistad national recreation area
shopping,amme,mp,american memorial park
shopping,ande,ga,andersonville national historic site
shopping,anti,md,antietam national battlefield
shopping,apco,va,appomattox court house national historical park
shopping,apis,wi,apostle islands national lakeshore
shopping,arch,ut,arches national park
shopping,arpo,ar,arkansas post national memorial
shopping,asis,"md,va",assateague island national seashore
shopping,azru,nm,aztec ruins national monument
shopping,badl,sd,badlands national park
shopping,band,nm,bandelier national monument
shopping,beol,co,bent's old fort national historic site
shopping,bepa,dc,belmont-paul women's equality national monument
shopping,bibe,tx,big bend national park
shopping,bica,"mt,wy",bighorn canyon national recreation area
shopping,bicy,fl,big cypress national preserve
shopping,biho,mt,big hole national battlefield
shopping,bisc,fl,biscayne national park
shopping,biso,"ky,tn",big south fork national river and recreation area
shopping,bith,tx,big thicket national preserve
shopping,blca,co,black canyon of the gunnison national park
shopping,blri,"nc,va",blue ridge parkway
shopping,brca,ut,bryce canyon national park
shopping,brvb,ks,brown v. board of education national historical park
shopping,buff,ar,buffalo national river
shopping,cabr,ca,cabrillo national monument
shopping,cach,az,canyon de chelly national monument
shopping,cacl,ny,castle clinton national monument
shopping,caco,ma,cape cod national seashore
shopping,cagr,az,casa grande ruins national monument
shopping,caha,nc,cape hatteras national seashore
shopping,cakr,ak,cape krusenstern national monument
shopping,calo,nc,cape lookout national seashore
shopping,cana,fl,canaveral national seashore
shopping,cany,ut,canyonlands national park
shopping,care,ut,capitol reef national park
shopping,cato,md,catoctin mountain park
shopping,cave,nm,carlsbad caverns national park
shopping,cawo,dc,carter g. woodson home national historic site
shopping,cebe,va,cedar creek and belle grove national historical park
shopping,cebr,ut,cedar breaks national monument
shopping,cech,ca,cesar e. chavez national monument
shopping,cham,tx,chamizal national memorial
shopping,chat,ga,chattahoochee river national recreation area
shopping,chch,"ga,tn",chickamauga and chattanooga national military park
shopping,chic,ok,chickasaw national recreation area
shopping,chir,az,chiricahua national monument
shopping,chis,ca,channel islands national park
shopping,choh,"dc,md,wv",chesapeake and ohio canal national historical park
shopping,chpi,sc,charles pinckney national historic site
shopping,chri,vi,christiansted national historic site
shopping,ciro,id,city of rocks national reserve
shopping,colm,co,colorado national monument
shopping,cong,sc,congaree national park
shopping,coro,az,coronado national memorial
shopping,crla,or,crater lake national park
shopping,crmo,id,craters of the moon national monument and preserve
shopping,cuga,"ky,tn,va",cumberland gap national historical park
shopping,cure,co,curecanti national recreation area
shopping,cuva,oh,cuyahoga valley national park
shopping,daav,oh,dayton aviation heritage national historical park
shopping,dena,ak,denali national park and preserve
shopping,deso,fl,de soto national memorial
shopping,deva,"ca,nv",death valley national park
shopping,dewa,"nj,pa",delaware water gap national recreation area
shopping,dino,"co,ut",dinosaur national monument
shopping,drto,fl,dry tortugas national park
shopping,ebla,wa,ebey's landing national historical reserve
shopping,efmo,ia,effigy mounds national monument
shopping,eise,pa,eisenhower national historic site
shopping,elis,"nj,ny",ellis island part of statue of liberty national monument
shopping,elma,nm,el malpais national monument
shopping,elmo,nm,el morro national monument
shopping,elro,ny,eleanor roosevelt national historic site
shopping,euon,ca,eugene o'neill national historic site
shopping,ever,fl,everglades national park
shopping,feha,ny,federal hall national memorial
shopping,fiis,ny,fire island national seashore
shopping,fila,oh,first ladies national historic site
shopping,flfo,co,florissant fossil beds national monument
shopping,fobo,az,fort bowie national historic site
shopping,fobu,wy,fossil butte national monument
shopping,foda,tx,fort davis national historic site
shopping,fola,wy,fort laramie national historic site
shopping,fols,ks,fort larned national historic site
shopping,fomc,md,fort mchenry national monument and historic shrine
shopping,fomr,va,fort monroe national monument
shopping,fone,pa,fort necessity national battlefield
shopping,fopu,ga,fort pulaski national monument
shopping,fora,nc,fort raleigh national historic site
shopping,fosc,ks,fort scott national historic site
shopping,fosm,"ar,ok",fort smith national historic site
shopping,fost,ny,fort stanwix national monument
shopping,fosu,sc,fort sumter and fort moultrie national historical park
shopping,foun,nm,fort union national monument
shopping,fous,"mt,nd",fort union trading post national historic site
shopping,fova,"or,wa",fort vancouver national historic site
shopping,fowa,md,fort washington park
shopping,frde,dc,franklin delano roosevelt memorial
shopping,frdo,dc,frederick douglass national historic site
shopping,frla,ma,frederick law olmsted national historic site
shopping,frsp,va,fredericksburg and spotsylvania national military park
shopping,gegr,ny,general grant national memorial
shopping,gero,in,george rogers clark national historical park
shopping,gett,pa,gettysburg national military park
shopping,gewa,va,george washington birthplace national monument
shopping,gicl,nm,gila cliff dwellings national monument
shopping,glac,mt,glacier national park
shopping,glba,ak,glacier bay national park and preserve
shopping,glca,"az,ut",glen canyon national recreation area
shopping,goga,ca,golden gate national recreation area
shopping,gois,ny,governors island national monument
shopping,gosp,ut,golden spike national historical park
shopping,grba,nv,great basin national park
shopping,grca,az,grand canyon national park
shopping,grpo,mn,grand portage national monument
shopping,grsa,co,great sand dunes national park and preserve
shopping,grsm,"nc,tn",great smoky mountains national park
shopping,grte,wy,grand teton national park
shopping,guis,"fl,ms",gulf islands national seashore
shopping,gwca,mo,george washington carver national monument
shopping,hafe,"wv,va,md",harpers ferry national historical park
shopping,hafo,id,hagerman fossil beds national monument
shopping,hale,hi,haleakala national park
shopping,hamp,md,hampton national historic site
shopping,hart,ny,harriet tubman national historical park
shopping,havo,hi,hawaii volcanoes national park
shopping,hobe,al,horseshoe bend national military park
shopping,hocu,oh,hopewell culture national historical park
shopping,hofu,pa,hopewell furnace national historic site
shopping,home,ne,homestead national historical park
shopping,hono,hi,honouliuli national historic site
shopping,hosp,ar,hot springs national park
shopping,hove,"co,ut",hovenweep national monument
shopping,hstr,mo,harry s truman national historic site
shopping,hutr,az,hubbell trading post national historic site
shopping,inde,pa,independence national historical park
shopping,indu,in,indiana dunes national park
shopping,isro,mi,isle royale national park
shopping,jaga,oh,james a garfield national historic site
shopping,jazz,la,new orleans jazz national historical park
shopping,jeca,sd,jewel cave national monument
shopping,jeff,mo,gateway arch national park
shopping,jela,la,jean lafitte national historical park and preserve
shopping,jica,ga,jimmy carter national historical park
shopping,jofi,ma,john fitzgerald kennedy national historic site
shopping,jotr,ca,joshua tree national park
shopping,juba,"az,ca",juan bautista de anza national historic trail
shopping,kaho,hi,kaloko-honokohau national historical park
shopping,katm,ak,katmai national park and preserve
shopping,keaq,dc,kenilworth park and aquatic gardens
shopping,kefj,ak,kenai fjords national park
shopping,klgo,ak,klondike gold rush national historical park
shopping,knri,nd,knife river indian villages national historic site
shopping,kova,ak,kobuk valley national park
shopping,labe,ca,lava beds national monument
shopping,lacl,ak,lake clark national park and preserve
shopping,lake,"az,nv",lake mead national recreation area
shopping,lamr,tx,lake meredith national recreation area
shopping,lavo,ca,lassen volcanic national park
shopping,lecl,"ia,id,il,in,ks,ky,mo,mt,ne,nd,oh,or,pa,sd,wa,wv",lewis and clark national historic trail
shopping,lewi,"or,wa",lewis and clark national historical park
shopping,libi,mt,little bighorn battlefield national monument
shopping,libo,in,lincoln boyhood national memorial
shopping,liho,il,lincoln home national historic site
shopping,linc,dc,lincoln memorial
shopping,liri,al,little river canyon national preserve
shopping,loea,ny,lower east side tenement museum national historic site
shopping,long,ma,longfellow house washington's headquarters national historic site
shopping,lowe,ma,lowell national historical park
shopping,lyjo,tx,lyndon b johnson national historical park
shopping,mabi,vt,marsh - billings - rockefeller national historical park
shopping,maca,ky,mammoth cave national park
shopping,mall,dc,**********national mall**********
shopping,malu,ga,"martin luther king, jr. national historical park"
shopping,mamc,dc,mary mcleod bethune council house national historic site
shopping,manz,ca,manzanar national historic site
shopping,mava,ny,martin van buren national historic site
shopping,mawa,va,maggie l walker national historic site
shopping,meve,co,mesa verde national park
shopping,mima,ma,minute man national historical park
shopping,mimi,sd,minuteman missile national historic site
shopping,mlkm,dc,"martin luther king, jr. memorial"
shopping,mnrr,"sd,ne",missouri national recreational river
shopping,moca,az,montezuma castle national monument
shopping,mocr,nc,moores creek national battlefield
shopping,moja,ca,mojave national preserve
shopping,mono,md,monocacy national battlefield
shopping,mora,wa,mount rainier national park
shopping,morr,nj,morristown national historical park
shopping,moru,sd,mount rushmore national memorial
shopping,muwo,ca,muir woods national monument
shopping,nabr,ut,natural bridges national monument
shopping,nama,dc,national mall and memorial parks
shopping,natc,ms,natchez national historical park
shopping,natr,"al,ms,tn",natchez trace parkway
shopping,nava,az,navajo national monument
shopping,nebe,ma,new bedford whaling national historical park
shopping,nepe,"id,mt,or,wa",nez perce national historical park
shopping,neri,wv,new river gorge national park and preserve
shopping,niob,ne,niobrara national scenic river
shopping,nisi,sc,ninety six national historic site
shopping,noca,wa,north cascades national park
shopping,noco,"mi,mn,nd,ny,oh,pa,vt,wi",north country national scenic trail
shopping,npnh,ny,national parks of new york harbor
shopping,npsa,as,national park of american samoa
shopping,ocmu,ga,ocmulgee mounds national historical park
shopping,olym,wa,olympic national park
shopping,orca,or,oregon caves national monument and preserve
shopping,orpi,az,organ pipe cactus national monument
shopping,ovvi,"nc,sc,tn,va",overmountain victory national historic trail
shopping,oxhi,md,oxon cove park and oxon hill farm
shopping,ozar,mo,ozark national scenic riverways
shopping,paal,tx,palo alto battlefield national historical park
shopping,pais,tx,padre island national seashore
shopping,peco,nm,pecos national historical park
shopping,pefo,az,petrified forest national park
shopping,peri,ar,pea ridge national military park
shopping,pete,va,petersburg national battlefield
shopping,petr,nm,petroglyph national monument
shopping,pinn,ca,pinnacles national park
shopping,pipe,mn,pipestone national monument
shopping,piro,mi,pictured rocks national lakeshore
shopping,pisp,az,pipe spring national monument
shopping,pore,ca,point reyes national seashore
shopping,prwi,va,prince william forest park
shopping,puhe,hi,puukohola heiau national historic site
shopping,puho,hi,puuhonua o honaunau national historical park
shopping,pull,il,pullman national historical park
shopping,redw,ca,redwood national and state parks
shopping,reer,sc,reconstruction era national historical park
shopping,rich,va,richmond national battlefield park
shopping,rira,mi,river raisin national battlefield park
shopping,rocr,dc,rock creek park
shopping,romo,co,rocky mountain national park
shopping,rowi,ri,roger williams national memorial
shopping,ruca,al,russell cave national monument
shopping,saan,tx,san antonio missions national historical park
shopping,safr,ca,san francisco maritime national historical park
shopping,saga,nh,saint-gaudens national historical park
shopping,sahi,ny,sagamore hill national historic site
shopping,sair,ma,saugus iron works national historic site
shopping,sajh,wa,san juan island national historical park
shopping,saju,pr,san juan national historic site
shopping,sama,ma,salem maritime national historical park
shopping,samo,ca,santa monica mountains national recreation area
shopping,sand,co,sand creek massacre national historic site
shopping,sapu,nm,salinas pueblo missions national monument
shopping,sara,ny,saratoga national historical park
shopping,scbl,ne,scotts bluff national monument
shopping,seki,ca,sequoia and kings canyon national parks
shopping,semo,al,selma to montgomery national historic trail
shopping,shen,va,shenandoah national park
shopping,shil,"tn,ms",shiloh national military park
shopping,slbe,mi,sleeping bear dunes national lakeshore
shopping,spar,ma,springfield armory national historic site
shopping,stea,pa,steamtown national historic site
shopping,stge,mo,ste. genevieve national historical park
shopping,stli,ny,statue of liberty national monument
shopping,stri,tn,stones river national battlefield
shopping,stsp,"dc,md,va",star-spangled banner national historic trail
shopping,sucr,az,sunset crater volcano national monument
shopping,tapr,ks,tallgrass prairie national preserve
shopping,thrb,ny,theodore roosevelt birthplace national historic site
shopping,thro,nd,theodore roosevelt national park
shopping,thst,md,thomas stone national historic site
shopping,timu,fl,timucuan ecological and historic preserve
shopping,tont,az,tonto national monument
shopping,tule,ca,tule lake national monument
shopping,tuma,az,tumacacori national historical park
shopping,tuzi,az,tuzigoot national monument
shopping,ulsg,mo,ulysses s grant national historic site
shopping,upde,"ny,pa",upper delaware scenic and recreational river
shopping,vafo,pa,valley forge national historical park
shopping,vall,nm,valles caldera national preserve
shopping,valr,hi,pearl harbor national memorial
shopping,vama,ny,vanderbilt mansion national historic site
shopping,vick,"ms,la",vicksburg national military park
shopping,viis,vi,virgin islands national park
shopping,voya,mn,voyageurs national park
shopping,waba,ok,washita battlefield national historic site
shopping,waca,az,walnut canyon national monument
shopping,wamo,dc,washington monument
shopping,wapa,gu,war in the pacific national historical park
shopping,whho,dc,the white house and president's park
shopping,whis,ca,whiskeytown national recreation area
shopping,whmi,wa,whitman mission national historic site
shopping,wica,sd,wind cave national park
shopping,wicl,ar,president william jefferson clinton birthplace home national historic site
shopping,wicr,mo,wilson's creek national battlefield
shopping,wiho,oh,william howard taft national historic site
shopping,wing,wa,wing luke museum affiliated area
shopping,wrbr,nc,wright brothers national memorial
shopping,wrst,ak,wrangell - st elias national park and preserve
shopping,wupa,az,wupatki national monument
shopping,yell,"id,mt,wy",yellowstone national park
shopping,york,va,yorktown battlefield part of colonial national historical park
shopping,yose,ca,yosemite national park
shopping,zion,ut,zion national park
skiing,acad,me,acadia national park
skiing,band,nm,bandelier national monument
skiing,bica,"mt,wy",bighorn canyon national recreation area
skiing,biho,mt,big hole national battlefield
skiing,blca,co,black canyon of the gunnison national park
skiing,brca,ut,bryce canyon national park
skiing,caco,ma,cape cod national seashore
skiing,cato,md,catoctin mountain park
skiing,cebr,ut,cedar breaks national monument
skiing,choh,"dc,md,wv",chesapeake and ohio canal national historical park
skiing,ciro,id,city of rocks national reserve
skiing,crla,or,crater lake national park
skiing,crmo,id,craters of the moon national monument and preserve
skiing,cure,co,curecanti national recreation area
skiing,cuva,oh,cuyahoga valley national park
skiing,dena,ak,denali national park and preserve
skiing,dewa,"nj,pa",delaware water gap national recreation area
skiing,dino,"co,ut",dinosaur national monument
skiing,fomc,md,fort mchenry national monument and historic shrine
skiing,fone,pa,fort necessity national battlefield
skiing,frhi,pa,friendship hill national historic site
skiing,glac,mt,glacier national park
skiing,grba,nv,great basin national park
skiing,grpo,mn,grand portage national monument
skiing,grsa,co,great sand dunes national park and preserve
skiing,grte,wy,grand teton national park
skiing,hofu,pa,hopewell furnace national historic site
skiing,iatr,wi,ice age national scenic trail
skiing,indu,in,indiana dunes national park
skiing,kaww,me,katahdin woods and waters national monument
skiing,kefj,ak,kenai fjords national park
skiing,labe,ca,lava beds national monument
skiing,lacl,ak,lake clark national park and preserve
skiing,lavo,ca,lassen volcanic national park
skiing,mabi,vt,marsh - billings - rockefeller national historical park
skiing,meve,co,mesa verde national park
skiing,miss,mn,mississippi national river and recreation area
skiing,mnrr,"sd,ne",missouri national recreational river
skiing,mora,wa,mount rainier national park
skiing,noco,"mi,mn,nd,ny,oh,pa,vt,wi",north country national scenic trail
skiing,olym,wa,olympic national park
skiing,piro,mi,pictured rocks national lakeshore
skiing,romo,co,rocky mountain national park
skiing,saga,nh,saint-gaudens national historical park
skiing,sara,ny,saratoga national historical park
skiing,seki,ca,sequoia and kings canyon national parks
skiing,slbe,mi,sleeping bear dunes national lakeshore
skiing,vall,nm,valles caldera national preserve
skiing,voya,mn,voyageurs national park
skiing,yell,"id,mt,wy",yellowstone national park
skiing,yose,ca,yosemite national park
skiing,yuch,ak,yukon - charley rivers national preserve
snorkeling,alka,hi,ala kahakai national historic trail
snorkeling,bisc,fl,biscayne national park
snorkeling,buis,vi,buck island reef national monument
snorkeling,caha,nc,cape hatteras national seashore
snorkeling,chis,ca,channel islands national park
snorkeling,drto,fl,dry tortugas national park
snorkeling,guis,"fl,ms",gulf islands national seashore
snorkeling,lake,"az,nv",lake mead national recreation area
snorkeling,npsa,as,national park of american samoa
snorkeling,puho,hi,puuhonua o honaunau national historical park
snorkeling,sari,vi,salt river bay national historical park and ecological preserve
snorkeling,vicr,vi,virgin islands coral reef national monument
snorkeling,viis,vi,virgin islands national park
snorkeling,wapa,gu,war in the pacific national historical park
snow play,acad,me,acadia national park
snow play,bica,"mt,wy",bighorn canyon national recreation area
snow play,cebr,ut,cedar breaks national monument
snow play,ciro,id,city of rocks national reserve
snow play,crla,or,crater lake national park
snow play,cuva,oh,cuyahoga valley national park
snow play,dena,ak,denali national park and preserve
snow play,fost,ny,fort stanwix national monument
snow play,glac,mt,glacier national park
snow play,grsa,co,great sand dunes national park and preserve
snow play,grte,wy,grand teton national park
snow play,indu,in,indiana dunes national park
snow play,lacl,ak,lake clark national park and preserve
snow play,lavo,ca,lassen volcanic national park
snow play,mabi,vt,marsh - billings - rockefeller national historical park
snow play,miss,mn,mississippi national river and recreation area
snow play,mora,wa,mount rainier national park
snow play,olym,wa,olympic national park
snow play,piro,mi,pictured rocks national lakeshore
snow play,romo,co,rocky mountain national park
snow play,saga,nh,saint-gaudens national historical park
snow play,sara,ny,saratoga national historical park
snow play,seki,ca,sequoia and kings canyon national parks
snow play,yell,"id,mt,wy",yellowstone national park
snow play,yose,ca,yosemite national park
snowmobiling,acad,me,acadia national park
snowmobiling,bela,ak,bering land bridge national preserve
snowmobiling,cebr,ut,cedar breaks national monument
snowmobiling,ciro,id,city of rocks national reserve
snowmobiling,crla,or,crater lake national park
snowmobiling,cure,co,curecanti national recreation area
snowmobiling,dena,ak,denali national park and preserve
snowmobiling,grte,wy,grand teton national park
snowmobiling,kaww,me,katahdin woods and waters national monument
snowmobiling,kefj,ak,kenai fjords national park
snowmobiling,mora,wa,mount rainier national park
snowmobiling,piro,mi,pictured rocks national lakeshore
snowmobiling,voya,mn,voyageurs national park
snowmobiling,wrst,ak,wrangell - st elias national park and preserve
snowmobiling,yell,"id,mt,wy",yellowstone national park
snowmobiling,yuch,ak,yukon - charley rivers national preserve
snowshoeing,acad,me,acadia national park
snowshoeing,apis,wi,apostle islands national lakeshore
snowshoeing,appa,"ct,ga,ma,md,me,nc,nh,nj,ny,pa,tn,va,vt,wv",appalachian national scenic trail
snowshoeing,band,nm,bandelier national monument
snowshoeing,bica,"mt,wy",bighorn canyon national recreation area
snowshoeing,biho,mt,big hole national battlefield
snowshoeing,blca,co,black canyon of the gunnison national park
snowshoeing,brca,ut,bryce canyon national park
snowshoeing,caco,ma,cape cod national seashore
snowshoeing,cato,md,catoctin mountain park
snowshoeing,cebr,ut,cedar breaks national monument
snowshoeing,choh,"dc,md,wv",chesapeake and ohio canal national historical park
snowshoeing,ciro,id,city of rocks national reserve
snowshoeing,crla,or,crater lake national park
snowshoeing,crmo,id,craters of the moon national monument and preserve
snowshoeing,cure,co,curecanti national recreation area
snowshoeing,cuva,oh,cuyahoga valley national park
snowshoeing,dena,ak,denali national park and preserve
snowshoeing,dewa,"nj,pa",delaware water gap national recreation area
snowshoeing,flfo,co,florissant fossil beds national monument
snowshoeing,glac,mt,glacier national park
snowshoeing,grba,nv,great basin national park
snowshoeing,grsa,co,great sand dunes national park and preserve
snowshoeing,grte,wy,grand teton national park
snowshoeing,iatr,wi,ice age national scenic trail
snowshoeing,indu,in,indiana dunes national park
snowshoeing,jeca,sd,jewel cave national monument
snowshoeing,kaww,me,katahdin woods and waters national monument
snowshoeing,kefj,ak,kenai fjords national park
snowshoeing,lacl,ak,lake clark national park and preserve
snowshoeing,lavo,ca,lassen volcanic national park
snowshoeing,lecl,"ia,id,il,in,ks,ky,mo,mt,ne,nd,oh,or,pa,sd,wa,wv",lewis and clark national historic trail
snowshoeing,mabi,vt,marsh - billings - rockefeller national historical park
snowshoeing,meve,co,mesa verde national park
snowshoeing,mora,wa,mount rainier national park
snowshoeing,neen,"ma,ct",new england national scenic trail
snowshoeing,noco,"mi,mn,nd,ny,oh,pa,vt,wi",north country national scenic trail
snowshoeing,olym,wa,olympic national park
snowshoeing,pipe,mn,pipestone national monument
snowshoeing,piro,mi,pictured rocks national lakeshore
snowshoeing,romo,co,rocky mountain national park
snowshoeing,saga,nh,saint-gaudens national historical park
snowshoeing,sara,ny,saratoga national historical park
snowshoeing,seki,ca,sequoia and kings canyon national parks
snowshoeing,slbe,mi,sleeping bear dunes national lakeshore
snowshoeing,vall,nm,valles caldera national preserve
snowshoeing,voya,mn,voyageurs national park
snowshoeing,wrst,ak,wrangell - st elias national park and preserve
snowshoeing,yell,"id,mt,wy",yellowstone national park
snowshoeing,yose,ca,yosemite national park
surfing,alka,hi,ala kahakai national historic trail
surfing,amme,mp,american memorial park
surfing,asis,"md,va",assateague island national seashore
surfing,caco,ma,cape cod national seashore
surfing,caha,nc,cape hatteras national seashore
surfing,cana,fl,canaveral national seashore
surfing,chis,ca,channel islands national park
surfing,goga,ca,golden gate national recreation area
surfing,npnh,ny,national parks of new york harbor
surfing,olym,wa,olympic national park
